competitor_id,competitor_name,competitor_supplier_country,Proportion_imports,notes_competitor_supply_chain
comp_1,TrackMan,China,45%,Significant import source mentioned.25 Proxy based on shipment count/mentions vs Germany/Denmark.
comp_1,TrackMan,Germany,45%,Major import source based on available data.26 Adjusted slightly to account for other potential sources.
comp_2,TrackMan,Denmark,5%,"Headquarters location 27, likely some high-value components or final assembly/QC. Minor import source noted.26"
comp_1,TrackMan,"Other (S. Korea, USA)",5%,"Mentioned as potential origins 25, but likely smaller scale or specific components. Grouped for clarity."
comp_2,FlightScope,South Africa,50%,"Original founding location 29, likely R&D, core tech, possibly some manufacturing. No direct import data, inference based on origin."
comp_2,FlightScope,USA,30%,"HQ relocated to Orlando, FL.30 Some simulator packages mention ""Made in USA"" components (likely screens/frames).31 Inference."
comp_2,FlightScope,Asia (Unspecified),20%,"Common for electronics components. No direct information, assumed based on industry norms for cost-effective component sourcing. Inference."
comp_3,SkyTrak,Turkey,50%,"Major import source based on data for ""Skytrak Ltd"" (potentially related entity).32 Adjusted estimate, acknowledging potential entity mismatch (see Sec 3.2.1 & 5.3)."
comp_3,SkyTrak,Indonesia,30%,"Significant import source based on ""Skytrak Ltd"" data.32 Adjusted estimate, acknowledging potential entity mismatch."
comp_3,SkyTrak,Vietnam,10%,"Minor import source based on ""Skytrak Ltd"" data.32"
comp_3,SkyTrak,USA,10%,"US presence (HQ/returns in CO 34), software development 36, possible final assembly/QC. Inference."
comp_4,Garmin (Golf/Outdoor),Taiwan,70%,"Major manufacturing facility established early 37, key Asia Corp HQ.38 Assumed primary source for mass-produced electronics."
comp_4,Garmin (Golf/Outdoor),USA,20%,"US HQ (KS), R&D, some manufacturing/assembly.37 Vertical integration model suggests some US production.38"
comp_4,Garmin (Golf/Outdoor),China,5%,"Common source for components/accessories, though primary manufacturing is stated as Taiwan/US. Assumption based on industry."
comp_4,Garmin (Golf/Outdoor),Other (Europe - UK),5%,"European HQ/facility exists 38, likely for regional distribution, support, possibly some localization/accessories. Minor sourcing role."
